Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
29,Harry Arter,ie IRL,MF,Bournemouth,26,1989,35,33,2957,32.9,0.03,0.09,0.12,0.03,0.00,0.03,0.36,0.06,0.03,0.09,0.12,0.03,0.12,Matches,2f4c5a52
30,Joel Asoro,se SWE,FW,Sunderland,17,1999,1,0,10,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,13e827f8
31,Charlie Austin,eng ENG,FW,Southampton,27,1989,15,11,934,10.4,0.58,0.10,0.67,0.38,0.19,0.19,0.10,0.00,0.58,0.10,0.67,0.39,0.48,Matches,8d228291
32,Daniel Ayala,es ESP,DF,Middlesbrough,25,1990,14,11,918,10.2,0.10,0.00,0.10,0.10,0.00,0.00,0.29,0.00,0.10,0.00,0.10,0.10,0.10,Matches,302560a0
33,André Ayew,gh GHA,MFFW,West Ham,26,1989,25,16,1438,16.0,0.38,0.19,0.56,0.38,0.00,0.00,0.06,0.00,0.38,0.19,0.56,0.38,0.56,Matches,5dbefa9d
34,Jordan Ayew,gh GHA,FWMF,Swansea City,24,1991,14,9,866,9.6,0.10,0.21,0.31,0.10,0.00,0.00,0.10,0.00,0.10,0.21,0.31,0.10,0.31,Matches,da052c14
35,César Azpilicueta,es ESP,DF,Chelsea,26,1989,38,38,3420,38.0,0.03,0.11,0.13,0.03,0.00,0.00,0.11,0.00,0.03,0.11,0.13,0.03,0.13,Matches,53cad200
36,Eric Bailly,ci CIV,DF,Manchester Utd,22,1994,25,24,2058,22.9,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a1232f4e
37,Leighton Baines,eng ENG,DFMF,Everton,31,1984,32,32,2819,31.3,0.06,0.10,0.16,0.00,0.06,0.10,0.13,0.00,0.06,0.10,0.16,0.00,0.10,Matches,b18095b6
38,Patrick Bamford,eng ENG,FW,Middlesbrough,22,1993,8,2,287,3.2,0.31,0.00,0.31,0.31,0.00,0.00,0.31,0.00,0.31,0.00,0.31,0.31,0.31,Matches,93feac6e
39,Patrick Bamford,eng ENG,FWMF,Burnley,22,1993,6,0,39,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,93feac6e
40,Phil Bardsley,sct SCO,DF,Stoke City,31,1985,15,14,1168,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.15,0.00,0.00,0.00,0.00,0.00,Matches,1ae30132
41,Ross Barkley,eng ENG,MFFW,Everton,22,1993,36,32,2899,32.2,0.16,0.25,0.40,0.16,0.00,0.00,0.16,0.00,0.16,0.25,0.40,0.16,0.40,Matches,3a24769f
42,Ashley Barnes,eng ENG,FW,Burnley,26,1989,28,20,1773,19.7,0.30,0.10,0.41,0.20,0.10,0.10,0.36,0.10,0.30,0.10,0.41,0.20,0.30,Matches,2691c772
43,Antonio Barragán,es ESP,DF,Middlesbrough,29,1987,26,26,2193,24.4,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,Matches,487d9b09
