Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
78,Craig Cathcart,nir NIR,DF,Watford,30,1989,29,28,2488,27.6,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.01,0.01,0.00,0.01,0.07,2.21,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,89e4b358
79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,24,18,1692,18.8,0.00,0.11,0.11,0.00,0.00,0.00,0.05,0.00,0.03,0.03,0.10,0.12,3.19,9.26,2.02,0.00,0.11,0.11,0.00,0.11,0.03,0.09,0.12,0.03,0.12,Matches,c0617e2b
80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,22,10,930,10.3,0.00,0.10,0.10,0.00,0.00,0.00,0.10,0.00,0.05,0.05,0.13,0.17,0.39,3.40,2.14,0.00,0.10,0.10,0.00,0.10,0.04,0.12,0.17,0.04,0.17,Matches,422862ea
81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1102,12.2,0.08,0.08,0.16,0.08,0.00,0.00,0.41,0.00,0.07,0.07,0.13,0.20,1.31,3.69,5.49,0.08,0.08,0.16,0.08,0.16,0.06,0.13,0.20,0.06,0.20,Matches,dc6f5bdd
82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,27,27,2373,26.4,0.11,0.11,0.23,0.11,0.00,0.00,0.11,0.00,0.04,0.04,0.15,0.19,4.13,4.77,6.82,0.11,0.11,0.23,0.11,0.23,0.04,0.15,0.19,0.04,0.19,Matches,d2424d1b
83,Tahith Chong,nl NED,FWDF,Manchester Utd,19,1999,3,0,37,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,5.00,0.00,12.5,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches,2696b6a9
84,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,20,10,893,9.9,0.10,0.10,0.20,0.10,0.00,0.00,0.40,0.10,0.04,0.04,0.01,0.05,0.51,3.23,1.01,0.10,0.10,0.20,0.10,0.20,0.04,0.01,0.05,0.04,0.05,Matches,7d2d3329
85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,21,21,1751,19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.03,0.03,0.05,0.07,0.87,3.85,0.05,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches,1cb49278
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,1186,13.2,0.15,0.00,0.15,0.15,0.00,0.00,0.23,0.00,0.10,0.10,0.00,0.10,0.15,1.21,0.15,0.15,0.00,0.15,0.15,0.15,0.10,0.00,0.10,0.10,0.10,Matches,2b91cf8e
87,Leon Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,2,0,35,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,1.25,0.00,1.25,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00,1.19,1.19,1.19,Matches,91c975a0
88,Tom Cleverley,eng ENG,MF,Watford,29,1989,18,11,971,10.8,0.09,0.00,0.09,0.09,0.00,0.00,0.19,0.00,0.19,0.19,0.06,0.26,1.20,4.54,3.98,0.09,0.00,0.09,0.09,0.09,0.19,0.07,0.26,0.19,0.26,Matches,6cdd8245
89,Conor Coady,eng ENG,DF,Wolves,26,1993,38,38,3420,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.01,0.01,0.08,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,2928dca2
90,Séamus Coleman,ie IRL,DF,Everton,30,1988,27,21,1839,20.4,0.00,0.05,0.05,0.00,0.00,0.00,0.25,0.05,0.04,0.04,0.08,0.13,2.40,3.77,4.56,0.00,0.05,0.05,0.00,0.05,0.05,0.08,0.13,0.05,0.13,Matches,0420d84f
91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,24,14,1258,14.0,0.21,0.07,0.29,0.21,0.00,0.00,0.00,0.00,0.29,0.29,0.04,0.32,1.50,0.71,6.14,0.21,0.07,0.29,0.21,0.29,0.28,0.04,0.32,0.28,0.32,Matches,27c01749
92,Lewis Cook,eng ENG,MFFW,Bournemouth,22,1997,27,14,1352,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.02,0.02,0.03,0.05,1.20,5.33,2.07,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,2afc7272
93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,29,28,2428,27.0,0.04,0.00,0.04,0.04,0.00,0.00,0.22,0.04,0.03,0.03,0.02,0.04,0.26,2.70,0.19,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.04,0.03,0.04,Matches,3e5e4e63
94,Jack Cork,eng ENG,MF,Burnley,30,1989,30,30,2613,29.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.07,0.07,0.04,0.11,0.45,2.31,1.07,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches,74e12f1e
95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,31,31,2727,30.3,0.10,0.00,0.10,0.10,0.00,0.00,0.23,0.00,0.05,0.05,0.11,0.15,1.42,5.48,3.20,0.10,0.00,0.10,0.10,0.10,0.05,0.11,0.15,0.05,0.15,Matches,4f974391
96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,3.3,0.61,0.00,0.61,0.61,0.00,0.00,0.00,0.00,0.67,0.67,0.09,0.76,1.52,0.30,6.06,0.61,0.00,0.61,0.61,0.61,0.68,0.08,0.76,0.68,0.76,Matches,a4fe8cda
97,Diogo Dalot,pt POR,DFMF,Manchester Utd,20,1999,4,1,67,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43,2.86,4.29,10.0,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches,d9565625
98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.71,1.43,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,9d107085
99,Arnaut Danjuma,nl NED,MF,Bournemouth,22,1997,14,6,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.03,0.20,4.43,3.00,8.57,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.20,0.17,0.20,Matches,f08490a6
100,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,1266,14.1,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.03,0.09,0.07,1.99,0.14,0.00,0.07,0.07,0.00,0.07,0.06,0.03,0.09,0.06,0.09,Matches,52105203
101,Kevin Danso,at AUT,DF,Southampton,20,1998,6,3,277,3.1,0.00,0.32,0.32,0.00,0.00,0.00,0.65,0.32,0.03,0.03,0.06,0.10,1.94,3.87,1.29,0.00,0.32,0.32,0.00,0.32,0.02,0.08,0.10,0.02,0.10,Matches,6e33125f
102,Ben Davies,wls WAL,DF,Tottenham,26,1993,18,16,1431,15.9,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.01,0.01,0.06,0.07,2.01,3.33,3.40,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches,44781702
103,Tom Davies,eng ENG,MF,Everton,21,1998,30,23,2027,22.5,0.04,0.00,0.04,0.04,0.00,0.00,0.36,0.00,0.07,0.07,0.02,0.09,1.07,5.02,1.42,0.04,0.00,0.04,0.04,0.04,0.07,0.02,0.09,0.07,0.09,Matches,9228b07c
104,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,18,4,548,6.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.03,0.48,3.11,1.48,8.20,0.00,0.00,0.00,0.00,0.00,0.44,0.03,0.47,0.44,0.47,Matches,9deaf2c8
105,Craig Dawson,eng ENG,DF,Watford,29,1990,29,26,2361,26.2,0.08,0.00,0.08,0.08,0.00,0.00,0.23,0.00,0.11,0.11,0.02,0.13,0.15,2.40,0.27,0.08,0.00,0.08,0.08,0.08,0.11,0.02,0.13,0.11,0.13,Matches,3e9e06cb
106,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,35,32,2791,31.0,0.42,0.65,1.06,0.35,0.06,0.06,0.10,0.00,0.24,0.19,0.65,0.83,4.48,9.03,8.29,0.42,0.64,1.06,0.35,1.00,0.24,0.65,0.88,0.19,0.83,Matches,e46012d4
107,Troy Deeney,eng ENG,FW,Watford,31,1988,27,26,2225,24.7,0.40,0.08,0.49,0.20,0.20,0.24,0.12,0.00,0.43,0.23,0.14,0.38,0.49,3.28,4.21,0.40,0.08,0.49,0.20,0.28,0.42,0.14,0.57,0.23,0.38,Matches,82e34b69
108,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,1190,13.2,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.08,0.01,0.01,0.03,0.04,1.44,7.12,0.68,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,111c3236
109,Leander Dendoncker,be BEL,MFDF,Wolves,24,1995,38,32,2795,31.1,0.13,0.00,0.13,0.13,0.00,0.00,0.16,0.00,0.06,0.06,0.02,0.08,0.55,2.19,1.25,0.13,0.00,0.13,0.13,0.13,0.06,0.02,0.08,0.06,0.08,Matches,5a7301ae
110,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,2098,23.3,0.17,0.21,0.39,0.13,0.04,0.04,0.13,0.00,0.27,0.24,0.18,0.41,5.28,2.70,7.30,0.17,0.21,0.39,0.13,0.34,0.27,0.17,0.45,0.24,0.41,Matches,39583cfd
111,Eric Dier,eng ENG,DFMF,Tottenham,25,1994,19,15,1344,14.9,0.00,0.13,0.13,0.00,0.00,0.00,0.34,0.00,0.06,0.06,0.03,0.09,0.27,2.48,0.27,0.00,0.13,0.13,0.00,0.13,0.06,0.03,0.08,0.06,0.08,Matches,ac861941
112,Lucas Digne,fr FRA,DF,Everton,26,1993,35,35,3030,33.7,0.00,0.21,0.21,0.00,0.00,0.00,0.18,0.00,0.04,0.04,0.19,0.23,2.05,3.98,7.45,0.00,0.21,0.21,0.00,0.21,0.04,0.19,0.23,0.04,0.23,Matches,1b84dbe1
113,Issa Diop,fr FRA,DF,West Ham,22,1997,32,31,2766,30.7,0.10,0.03,0.13,0.10,0.00,0.00,0.26,0.00,0.05,0.05,0.04,0.08,0.23,1.43,0.07,0.10,0.03,0.13,0.10,0.13,0.05,0.04,0.09,0.05,0.09,Matches,a712ca2b
114,Moussa Djenepo,ml MLI,MFDF,Southampton,21,1998,18,10,928,10.3,0.19,0.19,0.39,0.19,0.00,0.00,0.39,0.10,0.23,0.23,0.18,0.42,3.79,2.62,6.99,0.19,0.19,0.39,0.19,0.39,0.23,0.19,0.41,0.23,0.41,Matches,254147d4
115,Matt Doherty,ie IRL,MFDF,Wolves,27,1992,36,32,2839,31.5,0.13,0.10,0.22,0.13,0.00,0.00,0.03,0.00,0.22,0.22,0.07,0.29,2.38,5.02,4.92,0.13,0.10,0.22,0.13,0.22,0.22,0.07,0.29,0.22,0.29,Matches,d557d734
116,Abdoulaye Doucouré,ml MLI,MF,Watford,26,1993,37,36,3156,35.1,0.11,0.06,0.17,0.11,0.00,0.00,0.26,0.00,0.15,0.15,0.11,0.26,1.97,4.59,2.74,0.11,0.06,0.17,0.11,0.17,0.15,0.11,0.26,0.15,0.26,Matches,02b29014
117,Thomas Doyle,eng ENG,MF,Manchester City,17,2001,1,0,16,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches,5526deb1
118,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,259,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.03,0.03,0.00,0.07,0.69,6.90,1.38,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,2649ff32
119,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,58,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2649ff32
120,Josip Drmić,ch SUI,FW,Norwich City,26,1992,21,5,647,7.2,0.14,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.43,0.43,0.15,0.57,0.69,0.56,5.83,0.14,0.00,0.14,0.14,0.14,0.43,0.15,0.58,0.43,0.58,Matches,15ea94de
121,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,3420,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3a949a25
122,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,10,9,724,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.19,0.25,1.00,3.13,2.13,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.25,0.06,0.25,Matches,79ca3e23
123,Shane Duffy,ie IRL,DF,Brighton,27,1992,19,12,1238,13.8,0.07,0.00,0.07,0.07,0.00,0.00,0.14,0.00,0.09,0.09,0.01,0.09,0.29,2.10,0.14,0.07,0.00,0.07,0.07,0.07,0.09,0.01,0.10,0.09,0.10,Matches,7314bba4
124,Paul Dummett,wls WAL,DF,Newcastle Utd,27,1991,16,14,1228,13.6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.01,0.01,0.01,0.02,0.51,2.28,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,3fe6bd8c
125,Lewis Dunk,eng ENG,DF,Brighton,27,1991,36,36,3230,35.9,0.08,0.08,0.17,0.08,0.00,0.00,0.25,0.00,0.13,0.13,0.04,0.17,0.50,3.06,0.14,0.08,0.08,0.17,0.08,0.17,0.13,0.04,0.17,0.13,0.17,Matches,282f75f3
126,Ederson,br BRA,GK,Manchester City,25,1993,35,35,3071,34.1,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3bb7b8b4
127,John Egan,ie IRL,DF,Sheffield Utd,26,1992,36,36,3187,35.4,0.06,0.00,0.06,0.06,0.00,0.00,0.14,0.03,0.08,0.08,0.01,0.09,0.17,1.86,0.14,0.06,0.00,0.06,0.06,0.06,0.08,0.01,0.09,0.08,0.09,Matches,debe38a0
128,Harvey Elliott,eng ENG,DF,Liverpool,16,2003,2,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c8387671
129,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,18,11,1031,11.5,0.09,0.09,0.17,0.09,0.00,0.00,0.09,0.00,0.02,0.02,0.24,0.26,3.39,4.09,3.22,0.09,0.09,0.17,0.09,0.17,0.02,0.24,0.26,0.02,0.26,Matches,615ef733
130,Björn Engels,be BEL,DF,Aston Villa,24,1994,17,15,1447,16.1,0.06,0.00,0.06,0.06,0.00,0.00,0.06,0.00,0.06,0.06,0.02,0.07,0.31,2.67,0.12,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.07,Matches,4fdf1fd9
131,Christian Eriksen,dk DEN,MFFW,Tottenham,27,1992,20,10,1097,12.2,0.16,0.16,0.33,0.16,0.00,0.00,0.41,0.00,0.16,0.16,0.16,0.31,2.30,6.07,2.62,0.16,0.16,0.33,0.16,0.33,0.15,0.16,0.31,0.15,0.31,Matches,980522ec
132,Jonny Evans,nir NIR,DF,Leicester City,31,1988,38,38,3383,37.6,0.03,0.03,0.05,0.03,0.00,0.00,0.21,0.03,0.10,0.10,0.02,0.12,0.82,4.18,0.11,0.03,0.03,0.05,0.03,0.05,0.10,0.02,0.12,0.10,0.12,Matches,f8fcd2a5
133,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25,25,2117,23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9328b835
134,Fabinho,br BRA,MF,Liverpool,25,1993,28,22,2079,23.1,0.09,0.13,0.22,0.09,0.00,0.00,0.26,0.00,0.02,0.02,0.07,0.09,0.82,5.58,1.00,0.09,0.13,0.22,0.09,0.22,0.02,0.07,0.09,0.02,0.09,Matches,7f3b388c
135,Ralf Fährmann,de GER,GK,Norwich City,30,1988,1,1,21,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1e43fad8
136,Akin Famewo,eng ENG,MF,Norwich City,20,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9d9a71c1
137,Kiko Femenía,es ESP,DF,Watford,28,1991,28,26,2237,24.9,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.06,0.06,1.97,3.41,3.25,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.06,0.01,0.06,Matches,e5d01ecf
138,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,14,14,1186,13.2,0.61,0.53,1.14,0.30,0.30,0.30,0.15,0.00,0.47,0.23,0.19,0.42,2.58,8.33,6.97,0.61,0.53,1.14,0.30,0.83,0.47,0.19,0.66,0.23,0.42,Matches,507c7bdf
139,Gedson Fernandes,pt POR,MFDF,Tottenham,20,1999,7,0,68,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,11.3,5.00,18.8,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches,e2dde94c
140,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,32,29,2620,29.1,0.07,0.07,0.14,0.07,0.00,0.00,0.27,0.00,0.05,0.05,0.04,0.09,0.14,1.48,0.45,0.07,0.07,0.14,0.07,0.14,0.05,0.04,0.09,0.05,0.09,Matches,f25b010f
141,Fernandinho,br BRA,DF,Manchester City,34,1985,30,26,2397,26.6,0.00,0.04,0.04,0.00,0.00,0.00,0.34,0.08,0.04,0.04,0.02,0.05,1.92,8.01,0.26,0.00,0.04,0.04,0.00,0.04,0.04,0.01,0.05,0.04,0.05,Matches,101da2b5
142,Roberto Firmino,br BRA,FW,Liverpool,27,1991,38,34,2988,33.2,0.27,0.24,0.51,0.27,0.00,0.00,0.00,0.00,0.42,0.42,0.20,0.62,2.71,3.34,6.57,0.27,0.24,0.51,0.27,0.51,0.42,0.20,0.62,0.42,0.62,Matches,4c370d81
143,John Fleck,sct SCO,MF,Sheffield Utd,27,1991,30,28,2516,28.0,0.18,0.07,0.25,0.18,0.00,0.00,0.29,0.00,0.11,0.11,0.12,0.23,1.71,4.96,3.21,0.18,0.07,0.25,0.18,0.25,0.11,0.12,0.23,0.11,0.23,Matches,b63e789d
144,Phil Foden,eng ENG,FWMF,Manchester City,19,2000,23,9,901,10.0,0.50,0.20,0.70,0.50,0.00,0.00,0.00,0.00,0.33,0.33,0.12,0.45,3.60,4.90,10.2,0.50,0.20,0.70,0.50,0.70,0.33,0.12,0.45,0.33,0.45,Matches,ed1e53f3
145,Pablo Fornals,es ESP,MFFW,West Ham,23,1996,36,24,2172,24.1,0.08,0.21,0.29,0.08,0.00,0.00,0.12,0.00,0.10,0.10,0.10,0.20,1.87,3.78,6.47,0.08,0.21,0.29,0.08,0.29,0.10,0.10,0.20,0.10,0.20,Matches,82927de4
146,Ben Foster,eng ENG,GK,Watford,36,1983,38,38,3420,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d0b3ceb9
147,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,3,2,136,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.07,0.07,0.07,0.13,2.67,2.67,7.33,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.11,0.05,0.11,Matches,a9142dc3
148,Dimitri Foulquier,fr FRA,DFMF,Watford,26,1993,3,1,59,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,4.29,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,45e17712
149,Juan Foyth,ar ARG,DF,Tottenham,21,1998,4,1,68,0.8,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,6c7762c3
150,Simon Francis,eng ENG,DF,Bournemouth,34,1985,15,10,969,10.8,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.09,0.01,0.01,0.02,0.04,0.46,2.41,1.48,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,1e0b6a73
151,Ryan Fraser,sct SCO,MFFW,Bournemouth,25,1994,28,21,2067,23.0,0.04,0.17,0.22,0.04,0.00,0.00,0.09,0.00,0.16,0.16,0.17,0.33,4.30,4.35,7.13,0.04,0.17,0.22,0.04,0.22,0.16,0.17,0.33,0.16,0.33,Matches,d56543a0
152,Fred,br BRA,MF,Manchester Utd,26,1993,29,23,2163,24.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.07,0.07,0.09,0.16,1.17,6.58,1.63,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches,b853e0ad
153,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,27,25,2237,24.9,0.00,0.12,0.12,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.10,0.11,2.53,2.89,4.42,0.00,0.12,0.12,0.00,0.12,0.01,0.10,0.11,0.01,0.11,Matches,c067631c
154,Kieron Freeman,wls WAL,FW,Sheffield Utd,27,1992,2,0,7,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c13c24c8
155,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,11,3,366,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.02,0.02,0.05,0.05,3.41,4.88,5.61,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,636b64cd
156,Christian Fuchs,at AUT,DF,Leicester City,33,1986,11,8,772,8.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.03,0.93,5.35,2.09,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,a67a09fb
157,Eric García,es ESP,DF,Manchester City,18,2001,13,8,793,8.8,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.06,0.06,0.02,0.08,0.80,6.02,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,2bed3eab
158,James Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4e015693
159,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,20,10,850,9.4,0.43,0.21,0.64,0.43,0.00,0.00,0.21,0.00,0.46,0.46,0.09,0.54,0.74,0.74,4.57,0.42,0.21,0.64,0.42,0.64,0.46,0.09,0.54,0.46,0.54,Matches,e58a03c6
160,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1613,17.9,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,63d17038
161,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,2,1,136,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.67,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6bd603db
162,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,38,3420,38.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7ba6d84e
163,Anwar El Ghazi,nl NED,FWMF,Aston Villa,24,1995,34,26,2051,22.8,0.18,0.18,0.35,0.13,0.04,0.04,0.13,0.00,0.27,0.24,0.12,0.36,2.85,2.06,6.80,0.18,0.18,0.35,0.13,0.31,0.27,0.12,0.39,0.24,0.36,Matches,ffa90327
164,Morgan Gibbs-White,eng ENG,MFFW,Wolves,19,2000,7,1,129,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.14,3.57,4.29,7.86,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches,32f60ed8
165,Billy Gilmour,sct SCO,MF,Chelsea,18,2001,6,2,194,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,1.82,5.00,1.36,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches,df10e27c
166,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,18,12,993,11.0,0.73,0.00,0.73,0.73,0.00,0.00,0.09,0.00,0.66,0.66,0.08,0.75,0.55,0.64,5.36,0.73,0.00,0.73,0.73,0.73,0.66,0.08,0.74,0.66,0.74,Matches,16ceb862
